cam1_stem,pour_idx,rise_t,plateau_t,clip_start_s,clip_end_s,weight_g,plateau_end_t,flags,exclude
20260713_163431_241_GX011288,4,33.642,37.145,32.642,38.145,278.0,39.398,,
20260713_163431_241_GX011288,5,46.171,47.531,45.171,48.531,54.0,49.474,,
20260713_163431_241_GX011288,6,55.939,57.032,54.939,58.032,8.0,58.75,,
20260713_163431_241_GX011288,7,65.482,67.818,64.482,68.818,131.0,69.995,,
20260713_163431_241_GX011288,8,76.643,80.347,75.643,81.347,240.0,82.608,,
20260713_163431_241_GX011288,9,89.773,90.774,88.773,91.774,31.0,93.543,,
20260713_163431_241_GX011288,10,99.708,104.046,98.708,105.046,304.0,106.907,,
20260713_163431_241_GX011288,11,114.631,119.011,113.631,120.011,213.0,121.121,,
20260713_163431_241_GX011288,12,128.562,130.864,127.562,131.864,132.0,132.783,,
20260713_163431_241_GX011288,13,140.007,140.907,139.007,141.907,31.0,145.103,,
20260713_163807_308_GX011289,1,3.737,4.329,2.737,5.329,19.1,6.615,,
20260713_163807_308_GX011289,2,12.646,14.273,11.646,15.273,48.0,16.733,,
20260713_163807_308_GX011289,3,23.966,28.153,22.966,29.153,165.4,29.805,,
20260713_163807_308_GX011289,4,36.703,41.266,35.703,42.266,207.0,43.243,,
20260713_163807_308_GX011289,5,58.884,60.827,57.884,61.827,69.2,63.347,,
20260713_163807_308_GX011289,6,69.57,73.882,68.57,74.882,170.0,76.001,,
20260713_164103_625_GX011290,1,3.42,4.746,2.42,5.746,43.0,6.773,,
20260713_164103_625_GX011290,2,12.671,15.966,11.671,16.966,121.0,18.143,,
20260713_164103_625_GX011290,3,25.709,30.197,24.709,31.197,203.0,32.324,,
20260713_164103_625_GX011290,4,38.53,44.811,37.53,45.811,338.0,47.022,,
20260713_164103_625_GX011290,5,54.046,55.998,53.046,56.998,74.0,58.041,,
20260713_150345_600_GX011266,1,3.9706333333333332,11.519841666666666,2.971,11.629,347.0,11.929,,
20260713_150345_600_GX011266,2,24.891533333333335,29.020658333333333,23.892,30.021,186.0,30.631,,
20260713_150345_600_GX011266,3,35.677308333333336,40.98260833333333,34.677,41.983,203.0,42.693,,
20260713_150345_600_GX011266,4,48.81543333333333,52.46074166666667,47.815,53.461,144.0,54.488,,
20260713_150345_600_GX011266,5,59.02563333333333,63.455058333333334,58.026,64.455,182.0,64.848,,
20260713_150345_600_GX011266,6,84.76801666666667,92.80938333333333,83.768,92.501,5.2,92.801,truncated,truncated_end_of_video
