clip_id,trial_id,pour_idx,source_obj,target_obj,weight_g,wallclock_start,duration_s,cam1_window_s,cam2_src,cam3_src,cam1_ocr_csv,flags
0015,8,3,kettle,ikea_glass,322,2026-07-13 15:47:19.472,5.946,20.780-26.726,20260713_154658_500_GX011226.mp4,20260713_154658_467_GX011329.mp4,20260713_154658_692_GX011269.csv,
0016,8,4,kettle,ikea_glass,335,2026-07-13 15:47:30.533,5.67,31.841-37.511,20260713_154658_500_GX011226.mp4,20260713_154658_467_GX011329.mp4,20260713_154658_692_GX011269.csv,
0017,8,5,kettle,ikea_glass,48,2026-07-13 15:47:41.861,3.126,43.169-46.295,20260713_154658_500_GX011226.mp4,20260713_154658_467_GX011329.mp4,20260713_154658_692_GX011269.csv,
0018,8,6,kettle,ikea_glass,118,2026-07-13 15:47:50.536,4.586,51.844-56.430,20260713_154658_500_GX011226.mp4,20260713_154658_467_GX011329.mp4,20260713_154658_692_GX011269.csv,
0019,8,7,kettle,ikea_glass,214,2026-07-13 15:48:00.071,5.695,61.379-67.074,20260713_154658_500_GX011226.mp4,20260713_154658_467_GX011329.mp4,20260713_154658_692_GX011269.csv,
0020,8,8,kettle,ikea_glass,141,2026-07-13 15:48:11.207,4.252,72.515-76.767,20260713_154658_500_GX011226.mp4,20260713_154658_467_GX011329.mp4,20260713_154658_692_GX011269.csv,
0021,9,1,kettle,white_mug,86,2026-07-13 15:49:12.360,3.443,1.169-4.612,20260713_154911_033_GX011227.mp4,20260713_154911_000_GX011330.mp4,20260713_154911_191_GX011270.csv,
0022,9,2,kettle,white_mug,156,2026-07-13 15:49:21.411,4.51,10.220-14.730,20260713_154911_033_GX011227.mp4,20260713_154911_000_GX011330.mp4,20260713_154911_191_GX011270.csv,
0023,9,3,kettle,white_mug,266,2026-07-13 15:49:30.962,5.12,19.771-24.891,20260713_154911_033_GX011227.mp4,20260713_154911_000_GX011330.mp4,20260713_154911_191_GX011270.csv,
0024,9,4,kettle,white_mug,73,2026-07-13 15:49:42.014,3.419,30.823-34.242,20260713_154911_033_GX011227.mp4,20260713_154911_000_GX011330.mp4,20260713_154911_191_GX011270.csv,
0025,9,5,kettle,white_mug,29,2026-07-13 15:49:50.882,2.892,39.691-42.583,20260713_154911_033_GX011227.mp4,20260713_154911_000_GX011330.mp4,20260713_154911_191_GX011270.csv,
0026,9,6,kettle,white_mug,206,2026-07-13 15:49:59.832,4.72,48.641-53.361,20260713_154911_033_GX011227.mp4,20260713_154911_000_GX011330.mp4,20260713_154911_191_GX011270.csv,
0027,9,7,kettle,white_mug,295,2026-07-13 15:50:10.868,5.804,59.677-65.481,20260713_154911_033_GX011227.mp4,20260713_154911_000_GX011330.mp4,20260713_154911_191_GX011270.csv,
0028,9,8,kettle,white_mug,172,2026-07-13 15:50:22.905,4.778,71.714-76.492,20260713_154911_033_GX011227.mp4,20260713_154911_000_GX011330.mp4,20260713_154911_191_GX011270.csv,
0029,9,9,kettle,white_mug,217,2026-07-13 15:50:34.350,4.294,83.159-87.453,20260713_154911_033_GX011227.mp4,20260713_154911_000_GX011330.mp4,20260713_154911_191_GX011270.csv,
0030,11,1,kettle,glass,90,2026-07-13 15:52:03.271,3.542,2.788-6.331,20260713_155200_500_GX011229.mp4,20260713_155200_500_GX011332.mp4,20260713_155200_483_GX011272.csv,
0031,11,2,kettle,glass,41,2026-07-13 15:52:12.980,3.026,12.497-15.523,20260713_155200_500_GX011229.mp4,20260713_155200_500_GX011332.mp4,20260713_155200_483_GX011272.csv,
0032,11,3,kettle,glass,238,2026-07-13 15:52:21.547,5.028,21.064-26.092,20260713_155200_500_GX011229.mp4,20260713_155200_500_GX011332.mp4,20260713_155200_483_GX011272.csv,
0033,11,4,kettle,glass,318,2026-07-13 15:52:32.074,6.196,31.591-37.787,20260713_155200_500_GX011229.mp4,20260713_155200_500_GX011332.mp4,20260713_155200_483_GX011272.csv,
0034,11,5,kettle,glass,88,2026-07-13 15:52:43.859,4.063,43.376-47.439,20260713_155200_500_GX011229.mp4,20260713_155200_500_GX011332.mp4,20260713_155200_483_GX011272.csv,
0035,11,6,kettle,glass,229,2026-07-13 15:52:53.278,5.012,52.795-57.807,20260713_155200_500_GX011229.mp4,20260713_155200_500_GX011332.mp4,20260713_155200_483_GX011272.csv,
0036,11,7,kettle,glass,362,2026-07-13 15:53:03.539,5.086,63.056-68.142,20260713_155200_500_GX011229.mp4,20260713_155200_500_GX011332.mp4,20260713_155200_483_GX011272.csv,
0037,11,8,kettle,glass,130,2026-07-13 15:53:14.975,3.518,74.492-78.010,20260713_155200_500_GX011229.mp4,20260713_155200_500_GX011332.mp4,20260713_155200_483_GX011272.csv,
0038,12,1,teapot,blue_mug,70,2026-07-13 15:55:48.538,4.502,3.488-7.990,20260713_155545_333_GX011230.mp4,20260713_155545_533_GX011333.mp4,20260713_155545_050_GX011273.csv,
0039,12,2,teapot,blue_mug,140,2026-07-13 15:55:59.090,5.529,14.040-19.569,20260713_155545_333_GX011230.mp4,20260713_155545_533_GX011333.mp4,20260713_155545_050_GX011273.csv,
0040,12,3,teapot,blue_mug,20,2026-07-13 15:56:10.627,2.558,25.577-28.135,20260713_155545_333_GX011230.mp4,20260713_155545_533_GX011333.mp4,20260713_155545_050_GX011273.csv,
0041,12,4,teapot,blue_mug,191,2026-07-13 15:56:19.783,7.534,34.733-42.267,20260713_155545_333_GX011230.mp4,20260713_155545_533_GX011333.mp4,20260713_155545_050_GX011273.csv,
0042,12,5,teapot,blue_mug,269,2026-07-13 15:56:32.715,6.822,47.665-54.487,20260713_155545_333_GX011230.mp4,20260713_155545_533_GX011333.mp4,20260713_155545_050_GX011273.csv,
0043,13,1,teapot,blue_mug,68,2026-07-13 15:57:18.095,4.896,2.712-7.608,20260713_155715_433_GX011231.mp4,20260713_155715_600_GX011334.mp4,20260713_155715_383_GX011274.csv,
0044,13,2,teapot,blue_mug,209,2026-07-13 15:57:28.030,6.88,12.647-19.527,20260713_155715_433_GX011231.mp4,20260713_155715_600_GX011334.mp4,20260713_155715_383_GX011274.csv,
0045,13,3,teapot,blue_mug,244,2026-07-13 15:57:41.660,7.039,26.277-33.316,20260713_155715_433_GX011231.mp4,20260713_155715_600_GX011334.mp4,20260713_155715_383_GX011274.csv,
0046,13,4,teapot,blue_mug,155,2026-07-13 15:57:54.690,5.195,39.307-44.502,20260713_155715_433_GX011231.mp4,20260713_155715_600_GX011334.mp4,20260713_155715_383_GX011274.csv,
0047,13,5,teapot,blue_mug,31,2026-07-13 15:58:06.443,3.327,51.060-54.387,20260713_155715_433_GX011231.mp4,20260713_155715_600_GX011334.mp4,20260713_155715_383_GX011274.csv,
0048,15,1,teapot,white_mug,70,2026-07-13 16:00:45.213,4.794,3.830-8.624,20260713_160041_467_GX011233.mp4,20260713_160041_300_GX011336.mp4,20260713_160041_383_GX011276.csv,
0049,15,2,teapot,white_mug,111,2026-07-13 16:00:55.356,4.912,13.973-18.885,20260713_160041_467_GX011233.mp4,20260713_160041_300_GX011336.mp4,20260713_160041_383_GX011276.csv,
0050,15,3,teapot,white_mug,255,2026-07-13 16:01:06.309,7.789,24.926-32.715,20260713_160041_467_GX011233.mp4,20260713_160041_300_GX011336.mp4,20260713_160041_383_GX011276.csv,
0051,15,4,teapot,white_mug,132,2026-07-13 16:01:20.440,5.028,39.057-44.085,20260713_160041_467_GX011233.mp4,20260713_160041_300_GX011336.mp4,20260713_160041_383_GX011276.csv,
0052,15,5,teapot,white_mug,78,2026-07-13 16:01:31.092,4.786,49.709-54.495,20260713_160041_467_GX011233.mp4,20260713_160041_300_GX011336.mp4,20260713_160041_383_GX011276.csv,
0053,15,6,teapot,white_mug,50,2026-07-13 16:01:42.028,3.318,60.645-63.963,20260713_160041_467_GX011233.mp4,20260713_160041_300_GX011336.mp4,20260713_160041_383_GX011276.csv,
0054,16,1,teapot,ikea_glass,75,2026-07-13 16:04:11.661,4.494,2.645-7.139,20260713_160409_066_GX011234.mp4,20260713_160409_066_GX011337.mp4,20260713_160409_016_GX011277.csv,
0055,16,2,teapot,ikea_glass,182,2026-07-13 16:04:20.512,5.904,11.496-17.400,20260713_160409_066_GX011234.mp4,20260713_160409_066_GX011337.mp4,20260713_160409_016_GX011277.csv,
0056,16,3,teapot,ikea_glass,294,2026-07-13 16:04:32.157,7.514,23.141-30.655,20260713_160409_066_GX011234.mp4,20260713_160409_066_GX011337.mp4,20260713_160409_016_GX011277.csv,
0057,16,4,teapot,ikea_glass,137,2026-07-13 16:04:46.680,5.111,37.664-42.775,20260713_160409_066_GX011234.mp4,20260713_160409_066_GX011337.mp4,20260713_160409_016_GX011277.csv,
0058,17,1,teapot,glass,68,2026-07-13 16:05:37.738,4.302,2.846-7.148,20260713_160534_934_GX011235.mp4,20260713_160534_934_GX011338.mp4,20260713_160534_892_GX011278.csv,
0059,17,2,teapot,glass,15,2026-07-13 16:05:46.872,2.609,11.980-14.589,20260713_160534_934_GX011235.mp4,20260713_160534_934_GX011338.mp4,20260713_160534_892_GX011278.csv,
0060,17,3,teapot,glass,130,2026-07-13 16:05:55.230,5.312,20.338-25.650,20260713_160534_934_GX011235.mp4,20260713_160534_934_GX011338.mp4,20260713_160534_892_GX011278.csv,
0061,17,4,teapot,glass,326,2026-07-13 16:06:05.866,8.69,30.974-39.664,20260713_160534_934_GX011235.mp4,20260713_160534_934_GX011338.mp4,20260713_160534_892_GX011278.csv,
0062,18,1,bottle,blue_mug,113,2026-07-13 16:09:35.312,3.802,2.779-6.581,20260713_160932_834_GX011236.mp4,20260713_160932_633_GX011339.mp4,20260713_160932_533_GX011279.csv,
0063,18,2,bottle,blue_mug,144,2026-07-13 16:09:46.264,4.128,13.731-17.859,20260713_160932_834_GX011236.mp4,20260713_160932_633_GX011339.mp4,20260713_160932_533_GX011279.csv,
0064,18,3,bottle,blue_mug,223,2026-07-13 16:09:56.208,4.727,23.675-28.402,20260713_160932_834_GX011236.mp4,20260713_160932_633_GX011339.mp4,20260713_160932_533_GX011279.csv,
0065,18,4,bottle,blue_mug,210,2026-07-13 16:10:08.236,5.329,35.703-41.032,20260713_160932_834_GX011236.mp4,20260713_160932_633_GX011339.mp4,20260713_160932_533_GX011279.csv,
0066,18,5,bottle,blue_mug,118,2026-07-13 16:10:20.290,4.402,47.757-52.159,20260713_160932_834_GX011236.mp4,20260713_160932_633_GX011339.mp4,20260713_160932_533_GX011279.csv,
0067,18,6,bottle,blue_mug,35,2026-07-13 16:10:31.643,3.293,59.110-62.403,20260713_160932_834_GX011236.mp4,20260713_160932_633_GX011339.mp4,20260713_160932_533_GX011279.csv,
0068,18,7,bottle,blue_mug,90,2026-07-13 16:10:40.227,3.968,67.694-71.662,20260713_160932_834_GX011236.mp4,20260713_160932_633_GX011339.mp4,20260713_160932_533_GX011279.csv,
0069,20,1,bottle,white_mug,123,2026-07-13 16:13:49.345,4.119,1.853-5.972,20260713_161347_400_GX011238.mp4,20260713_161347_300_GX011341.mp4,20260713_161347_492_GX011281.csv,
0070,20,2,bottle,white_mug,228,2026-07-13 16:14:02.775,4.911,15.283-20.194,20260713_161347_400_GX011238.mp4,20260713_161347_300_GX011341.mp4,20260713_161347_492_GX011281.csv,
0071,20,3,bottle,white_mug,93,2026-07-13 16:14:15.121,3.876,27.629-31.505,20260713_161347_400_GX011238.mp4,20260713_161347_300_GX011341.mp4,20260713_161347_492_GX011281.csv,
0072,20,4,bottle,white_mug,85,2026-07-13 16:14:24.572,3.726,37.080-40.806,20260713_161347_400_GX011238.mp4,20260713_161347_300_GX011341.mp4,20260713_161347_492_GX011281.csv,
0073,20,5,bottle,white_mug,241,2026-07-13 16:14:33.531,5.303,46.039-51.342,20260713_161347_400_GX011238.mp4,20260713_161347_300_GX011341.mp4,20260713_161347_492_GX011281.csv,
0074,20,6,bottle,white_mug,202,2026-07-13 16:14:44.467,5.987,56.975-62.962,20260713_161347_400_GX011238.mp4,20260713_161347_300_GX011341.mp4,20260713_161347_492_GX011281.csv,
0075,21,1,bottle,glass,58,2026-07-13 16:19:06.078,3.293,1.736-5.029,20260713_161904_133_GX011239.mp4,20260713_161904_367_GX011342.mp4,20260713_161904_342_GX011282.csv,
0076,21,2,bottle,glass,156,2026-07-13 16:19:15.738,4.21,11.396-15.606,20260713_161904_133_GX011239.mp4,20260713_161904_367_GX011342.mp4,20260713_161904_342_GX011282.csv,
0077,21,3,bottle,glass,295,2026-07-13 16:19:25.249,5.516,20.908-26.424,20260713_161904_133_GX011239.mp4,20260713_161904_367_GX011342.mp4,20260713_161904_342_GX011282.csv,
0078,21,4,bottle,glass,181,2026-07-13 16:19:37.218,4.61,32.876-37.486,20260713_161904_133_GX011239.mp4,20260713_161904_367_GX011342.mp4,20260713_161904_342_GX011282.csv,
0079,21,5,bottle,glass,299,2026-07-13 16:19:47.761,6.997,43.419-50.416,20260713_161904_133_GX011239.mp4,20260713_161904_367_GX011342.mp4,20260713_161904_342_GX011282.csv,
0080,22,1,bottle,ikea_glass,63.5,2026-07-13 16:20:43.053,3.61,2.111-5.721,20260713_162040_934_GX011240.mp4,20260713_162040_934_GX011343.mp4,20260713_162040_942_GX011283.csv,
0081,22,2,bottle,ikea_glass,181,2026-07-13 16:20:51.946,3.818,11.004-14.822,20260713_162040_934_GX011240.mp4,20260713_162040_934_GX011343.mp4,20260713_162040_942_GX011283.csv,
0082,22,3,bottle,ikea_glass,206,2026-07-13 16:21:01.597,4.052,20.655-24.707,20260713_162040_934_GX011240.mp4,20260713_162040_934_GX011343.mp4,20260713_162040_942_GX011283.csv,
0083,22,4,bottle,ikea_glass,262,2026-07-13 16:21:11.048,4.194,30.106-34.300,20260713_162040_934_GX011240.mp4,20260713_162040_934_GX011343.mp4,20260713_162040_942_GX011283.csv,
0084,22,5,bottle,ikea_glass,233,2026-07-13 16:21:20.320,5.334,39.378-44.712,20260713_162040_934_GX011240.mp4,20260713_162040_934_GX011343.mp4,20260713_162040_942_GX011283.csv,
0085,24,1,kettle,blue_mug,71,2026-07-13 16:31:54.328,3.602,2.128-5.730,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0086,24,2,kettle,blue_mug,170,2026-07-13 16:32:03.571,4.41,11.371-15.781,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0087,24,3,kettle,blue_mug,126,2026-07-13 16:32:13.319,3.557,21.119-24.676,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0088,24,4,kettle,blue_mug,217,2026-07-13 16:32:22.281,4.736,30.081-34.817,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0089,24,5,kettle,blue_mug,128,2026-07-13 16:32:32.733,3.902,40.533-44.435,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0090,24,6,kettle,blue_mug,49,2026-07-13 16:32:41.692,3.101,49.492-52.593,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0091,24,7,kettle,blue_mug,269,2026-07-13 16:32:49.750,6.088,57.550-63.638,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0092,24,8,kettle,blue_mug,89.5,2026-07-13 16:33:02.096,3.81,69.896-73.706,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0093,24,9,kettle,blue_mug,176,2026-07-13 16:33:11.438,4.679,79.238-83.917,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0094,24,10,kettle,blue_mug,74,2026-07-13 16:33:22.082,3.819,89.882-93.701,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0095,24,11,kettle,blue_mug,232,2026-07-13 16:33:32.017,4.82,99.817-104.637,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0096,24,12,kettle,blue_mug,44,2026-07-13 16:33:43.963,3.109,111.763-114.872,20260713_163151_967_GX011243.mp4,20260713_163152_066_GX011346.mp4,20260713_163152_200_GX011287.csv,
0097,25,1,kettle,white_mug,46,2026-07-13 16:34:33.444,3.402,2.203-5.605,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0098,25,2,kettle,white_mug,193.5,2026-07-13 16:34:42.295,4.953,11.054-16.007,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0099,25,3,kettle,white_mug,74,2026-07-13 16:34:53.948,3.527,22.707-26.234,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0100,25,4,kettle,white_mug,278,2026-07-13 16:35:03.883,5.503,32.642-38.145,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0101,25,5,kettle,white_mug,54,2026-07-13 16:35:16.412,3.36,45.171-48.531,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0102,25,6,kettle,white_mug,8,2026-07-13 16:35:26.180,3.093,54.939-58.032,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0103,25,7,kettle,white_mug,131,2026-07-13 16:35:35.723,4.336,64.482-68.818,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0104,25,8,kettle,white_mug,240.5,2026-07-13 16:35:46.884,5.704,75.643-81.347,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0105,25,9,kettle,white_mug,31,2026-07-13 16:36:00.014,3.001,88.773-91.774,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0106,25,10,kettle,white_mug,304,2026-07-13 16:36:09.949,6.338,98.708-105.046,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0107,25,11,kettle,white_mug,213,2026-07-13 16:36:24.872,6.38,113.631-120.011,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0108,25,12,kettle,white_mug,132,2026-07-13 16:36:38.803,4.302,127.562-131.864,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0109,25,13,kettle,white_mug,31,2026-07-13 16:36:50.248,2.9,139.007-141.907,20260713_163431_333_GX011244.mp4,20260713_163431_300_GX011347.mp4,20260713_163431_241_GX011288.csv,
0110,26,1,teapot,blue_mug,30.5,2026-07-13 16:38:10.045,2.592,2.737-5.329,20260713_163807_333_GX011245.mp4,20260713_163807_300_GX011348.mp4,20260713_163807_308_GX011289.csv,
0111,26,2,teapot,blue_mug,71.5,2026-07-13 16:38:18.954,3.627,11.646-15.273,20260713_163807_333_GX011245.mp4,20260713_163807_300_GX011348.mp4,20260713_163807_308_GX011289.csv,
0112,26,3,teapot,blue_mug,188.5,2026-07-13 16:38:30.274,6.187,22.966-29.153,20260713_163807_333_GX011245.mp4,20260713_163807_300_GX011348.mp4,20260713_163807_308_GX011289.csv,
0113,26,4,teapot,blue_mug,232.5,2026-07-13 16:38:43.011,6.563,35.703-42.266,20260713_163807_333_GX011245.mp4,20260713_163807_300_GX011348.mp4,20260713_163807_308_GX011289.csv,
0114,26,5,teapot,blue_mug,8,2026-07-13 16:38:55.117,3.924,47.810-51.734,20260713_163807_333_GX011245.mp4,20260713_163807_300_GX011348.mp4,20260713_163807_308_GX011289.csv,
0115,26,6,teapot,blue_mug,82,2026-07-13 16:39:05.192,3.943,57.884-61.827,20260713_163807_333_GX011245.mp4,20260713_163807_300_GX011348.mp4,20260713_163807_308_GX011289.csv,
0116,26,7,teapot,blue_mug,170,2026-07-13 16:39:15.878,6.312,68.570-74.882,20260713_163807_333_GX011245.mp4,20260713_163807_300_GX011348.mp4,20260713_163807_308_GX011289.csv,
0117,27,1,teapot,white_mug,43,2026-07-13 16:41:06.045,3.326,2.420-5.746,20260713_164103_667_GX011246.mp4,20260713_164103_834_GX011349.mp4,20260713_164103_625_GX011290.csv,
0118,27,2,teapot,white_mug,121,2026-07-13 16:41:15.296,5.295,11.671-16.966,20260713_164103_667_GX011246.mp4,20260713_164103_834_GX011349.mp4,20260713_164103_625_GX011290.csv,
0119,27,3,teapot,white_mug,203,2026-07-13 16:41:28.334,6.488,24.709-31.197,20260713_164103_667_GX011246.mp4,20260713_164103_834_GX011349.mp4,20260713_164103_625_GX011290.csv,
0120,27,4,teapot,white_mug,338,2026-07-13 16:41:41.155,8.281,37.530-45.811,20260713_164103_667_GX011246.mp4,20260713_164103_834_GX011349.mp4,20260713_164103_625_GX011290.csv,
0121,27,5,teapot,white_mug,74,2026-07-13 16:41:56.671,3.952,53.046-56.998,20260713_164103_667_GX011246.mp4,20260713_164103_834_GX011349.mp4,20260713_164103_625_GX011290.csv,
